First gen,Prior experience
No,I have some experience.
No,I know a few basic concepts.
No,No experience at all.
No,I know a few basic concepts.
Yes,I have some experience.
Yes,I have some experience.
Yes,I know a few basic concepts.
No,No experience at all.
Yes,I have some experience.
No,I have some experience.
No,I have some experience.
No,No experience at all.
Yes,No experience at all.
No,I know a few basic concepts.
No,I know a few basic concepts.
Yes,I have some experience.
Yes,No experience at all.
Yes,No experience at all.
